MALE,25,30,7
MALE,34,30,4
MALE,41,2,2
MALE,24,5,6
MALE,41,5,6
MALE,31,10,6
MALE,39,10,7
MALE,48,14,4
MALE,20,35,0
MALE,46,5,6
FEMALE,36,4,2
FEMALE,46,6,7
FEMALE,59,5,2
FEMALE,35,8,2
FEMALE,43,12,2
FEMALE,42,14,2
FEMALE,60,3,0
FEMALE,37,6,2
FEMALE,34,6,4
FEMALE,32,0,7
MALE,43,28,2
MALE,41,20,6
MALE,28,14,7
MALE,52,21,0
MALE,58,40,0
MALE,24,14,7
MALE,33,7,4
MALE,41,10,7
MALE,21,20,6
MALE,26,8,4
FEMALE,30,14,2
FEMALE,59,28,2
FEMALE,33,7,7
FEMALE,34,21,6
FEMALE,43,6,7
FEMALE,23,20,4
FEMALE,63,42,0
FEMALE,32,21,6
FEMALE,36,10,4
FEMALE,22,7,4
MALE,62,17,2
MALE,34,7,7
MALE,30,5,0
MALE,34,9,0
MALE,61,2,2
MALE,33,3,6
MALE,36,4,2
MALE,31,6,2
MALE,34,10,7
MALE,32,12,0
FEMALE,59,15,2
FEMALE,30,10,6
FEMALE,35,20,2
FEMALE,29,10,0
FEMALE,58,2,66
FEMALE,29,10,6
FEMALE,27,10,2
FEMALE,31,5,6
FEMALE,26,12,2
FEMALE,33,8,2
FEMALE,66,28,0
FEMALE,44,25,2
FEMALE,38,15,0
FEMALE,18,30,0
FEMALE,63,28,0
FEMALE,50,16,4
FEMALE,66,20,2
FEMALE,32,20,0
FEMALE,45,30,4
FEMALE,43,50,0
MALE,20,35,4
MALE,35,20,6
MALE,36,18,4
MALE,66,22,2
MALE,45,60,0
MALE,42,14,4
MALE,67,14,0
MALE,36,30,7
MALE,62,16,0
MALE,59,20,0
MALE,24,30,7
FEMALE,72,10,4
FEMALE,52,24,4
FEMALE,50,32,6
FEMALE,26,40,7
FEMALE,21,28,7
FEMALE,22,7,7
FEMALE,25,15,6
FEMALE,32,30,4
FEMALE,46,20,4
FEMALE,37,14,7
MALE,79,10,2
MALE,30,40,6
MALE,54,14,7
MALE,40,32,7
MALE,35,26,6
MALE,20,35,7
MALE,29,24,7
MALE,22,8,4
MALE,28,12,7
